,price,number_of_reviews,review_scores_rating,availability_365
398,$47.00,8,4.88,361
399,$310.00,2,5.0,364
403,$328.00,0,,270
404,$404.00,0,,361
406,$295.00,0,,364
407,$260.00,0,,364
408,$500.00,0,,90
409,$260.00,0,,364
410,$375.00,0,,364
411,$440.00,2,3.0,364
413,$300.00,0,,364
417,$121.00,1,5.0,365
418,$50.00,0,,365
420,$70.00,1,5.0,365
421,$840.00,0,,358
422,$59.00,0,,365
423,$62.00,5,5.0,240
424,$470.00,1,4.0,364
425,$391.00,0,,364
426,$381.00,0,,364
427,$35.00,0,,365
429,$360.00,0,,364
430,$359.00,0,,364
431,$396.00,0,,364
432,$376.00,0,,364
433,$154.00,4,5.0,365
434,$159.00,4,5.0,273
435,$68.00,3,5.0,364
437,$20.00,0,,362
438,$140.00,0,,365
439,$295.00,0,,364
440,$80.00,0,,353
441,$70.00,1,2.0,365
442,$55.00,0,,365
451,$130.00,1,5.0,363
452,$97.00,0,,365
453,$59.00,0,,179
454,$135.00,0,,365
456,$145.00,0,,338
457,$296.00,0,,361
458,$380.00,0,,364
459,$140.00,0,,90
461,$120.00,0,,359
462,$400.00,0,,364
464,$268.00,0,,364
465,$480.00,0,,364
467,$80.00,0,,364
468,$168.00,0,,242
469,$132.00,30,5.0,364
471,$255.00,0,,364
472,$80.00,1,2.0,364
474,$450.00,1,5.0,364
475,$375.00,0,,361
476,$350.00,0,,364
477,$250.00,0,,364
478,$55.00,1,5.0,364
479,$315.00,0,,364
481,$100.00,0,,179
482,$340.00,0,,364
484,$280.00,0,,364
485,$45.00,0,,10
486,$280.00,0,,364
487,$320.00,0,,364
488,$350.00,0,,364
489,$285.00,0,,364
490,$275.00,0,,364
491,$270.00,0,,364
492,$310.00,0,,364
493,$310.00,0,,364
494,$77.00,0,,365
495,$60.00,0,,365
496,$100.00,0,,364
497,$76.00,0,,364
498,$80.00,55,4.85,138
499,$64.00,0,,364
500,$55.00,0,,178
501,$270.00,0,,364
503,$100.00,0,,263
504,$310.00,0,,364
505,$86.00,0,,364
506,$400.00,0,,364
507,$85.00,0,,302
508,$79.00,0,,364
509,$55.00,0,,364
510,$350.00,0,,269
511,$420.00,0,,269
512,$240.00,0,,269
513,$68.00,1,5.0,254
515,$98.00,0,,364
518,$320.00,0,,365
519,$145.00,0,,365
520,$200.00,0,,149
521,$305.00,0,,269
522,$100.00,0,,365
523,$188.00,0,,269
524,$80.00,0,,268
525,$88.00,0,,178
526,$80.00,0,,268
527,$98.00,0,,90
528,$90.00,0,,269
529,$80.00,0,,269
530,$300.00,0,,276
531,$78.00,9,4.78,208
532,$57.00,2,4.0,168
534,$65.00,0,,180
536,$37.00,0,,362
537,$45.00,0,,149
538,$45.00,0,,161
539,$67.00,0,,268
540,$152.00,0,,269
541,$299.00,0,,269
542,$90.00,0,,90
543,$90.00,0,,90
544,$96.00,4,4.75,269
545,$68.00,0,,364
546,$304.00,0,,269
547,$95.00,1,5.0,221
548,$81.00,0,,364
549,$58.00,0,,364
550,$243.00,0,,270
551,$100.00,0,,269
552,$96.00,0,,364
553,$96.00,0,,269
554,$78.00,0,,146
555,$209.00,0,,252
556,$88.00,0,,269
557,$102.00,0,,269
558,$57.00,0,,266
559,$120.00,0,,269
560,$80.00,0,,269
561,$80.00,0,,269
562,$115.00,0,,269
563,$93.00,0,,269
564,$93.00,0,,269
565,$120.00,0,,302
566,$176.00,0,,267
567,$60.00,0,,335
569,$159.00,0,,146
570,$60.00,0,,269
571,$98.00,0,,177
573,$98.00,0,,235
574,$98.00,0,,268
576,$56.00,1,3.0,269
577,$76.00,0,,178
578,$120.00,0,,269
579,$190.00,2,5.0,74
581,$78.00,0,,252
582,$169.00,0,,251
583,$160.00,0,,267
584,$220.00,0,,365
585,$112.00,0,,364
586,$65.00,0,,362
587,$92.00,0,,270
588,$86.00,0,,364
589,$136.00,0,,269
590,$60.00,0,,269
591,$190.00,1,5.0,104
593,$46.00,0,,106
594,$100.00,0,,269
595,$204.00,10,4.3,357
596,$238.00,0,,267
597,$90.00,0,,269
598,$187.00,7,4.43,362
599,$220.00,0,,256
600,$70.00,1,5.0,269
601,$405.00,1,5.0,89
602,$390.00,0,,269
604,$20.00,0,,89
605,$54.00,0,,352
606,$53.00,0,,365
608,$73.00,0,,365
609,$120.00,0,,363
610,$91.00,0,,87
611,$96.00,0,,365
612,$62.00,1,5.0,365
613,$54.00,0,,129
614,$62.00,0,,309
615,$112.00,0,,269
616,$120.00,0,,363
617,$76.00,0,,343
618,$76.00,0,,365
619,$96.00,0,,358
620,$85.00,0,,235
621,$98.00,0,,365
622,$50.00,0,,362
623,$60.00,0,,273
624,$400.00,0,,364
625,$72.00,0,,350
626,$64.00,0,,364
627,$80.00,0,,365
628,$46.00,0,,273
629,$120.00,0,,316
630,$240.00,1,3.0,362
631,$209.00,0,,365
632,$209.00,1,2.0,365
633,$91.00,0,,270
634,$600.00,0,,364
635,"$12,800.00",0,,365
636,$168.00,0,,90
637,$70.00,0,,164
638,$159.00,0,,180
639,$210.00,0,,365
640,$288.00,0,,365
641,$350.00,0,,332
642,$230.00,0,,164
643,$75.00,0,,365
645,$76.00,0,,365
646,$220.00,0,,365
647,$65.00,0,,268
648,$71.00,0,,90
649,$89.00,0,,365
650,$135.00,0,,90
652,$180.00,0,,352
653,$78.00,3,5.0,302
654,$240.00,0,,36
655,$278.00,0,,365
656,$99.00,0,,365
657,$66.00,0,,365
658,$94.00,0,,364
659,$89.00,0,,365
660,$95.00,0,,365
661,"$1,600.00",0,,364
662,$57.00,0,,365
