price,availability_365,room_type,review_scores_rating,neighbourhood_group_cleansed,cluster
27.0,241,Hotel room,4.38,Central Region,3
42.0,22,Private room,4.8,Central Region,0
81.0,80,Private room,4.7,Central Region,0
100.0,288,Private room,5.0,East Region,0
765.0,358,Entire home/apt,4.8,Central Region,3
49.0,361,Private room,5.0,Central Region,0
59.0,361,Private room,4.0,Central Region,0
48.0,361,Private room,5.0,Central Region,0
330.0,365,Entire home/apt,4.67,Central Region,3
160.0,365,Private room,5.0,East Region,0
31.0,365,Hotel room,4.41,Central Region,3
124.0,335,Private room,4.88,Central Region,0
69.0,361,Private room,5.0,Central Region,0
278.0,313,Private room,4.75,Central Region,0
60.0,365,Private room,4.73,North Region,2
42.0,361,Private room,4.71,North Region,2
68.0,365,Private room,4.67,East Region,0
136.0,364,Private room,4.9,Central Region,0
140.0,334,Private room,4.8,East Region,0
59.0,361,Private room,5.0,Central Region,0
59.0,363,Private room,3.5,Central Region,0
180.0,253,Private room,4.0,East Region,0
181.0,273,Entire home/apt,4.12,East Region,0
38.0,352,Private room,5.0,Central Region,0
49.0,361,Private room,5.0,Central Region,0
62.0,365,Private room,4.4,Central Region,0
170.0,365,Private room,5.0,East Region,0
69.0,361,Private room,5.0,Central Region,0
88.0,365,Private room,4.0,West Region,0
60.0,361,Private room,4.5,Central Region,0
154.0,365,Entire home/apt,4.5,Central Region,3
49.0,361,Private room,5.0,Central Region,0
49.0,361,Private room,4.0,Central Region,0
245.0,365,Entire home/apt,4.5,Central Region,3
190.0,161,Entire home/apt,4.91,Central Region,3
50.0,330,Private room,4.96,East Region,0
70.0,319,Private room,4.75,East Region,0
49.0,330,Private room,4.25,Central Region,0
88.0,265,Private room,4.86,West Region,0
47.0,361,Private room,5.0,Central Region,0
59.0,361,Private room,4.83,Central Region,0
200.0,264,Entire home/apt,4.68,East Region,0
49.0,361,Private room,4.5,Central Region,0
86.0,365,Private room,4.6,West Region,0
43.0,361,Private room,5.0,Central Region,0
157.0,347,Entire home/apt,4.77,Central Region,3
179.0,350,Entire home/apt,4.82,Central Region,3
200.0,89,Entire home/apt,4.0,Central Region,3
69.0,361,Private room,4.0,Central Region,0
25.0,365,Private room,5.0,West Region,0
70.0,365,Private room,4.79,Central Region,0
79.0,365,Private room,4.83,Central Region,0
85.0,365,Private room,4.5,Central Region,0
89.0,90,Private room,4.91,East Region,0
99.0,363,Private room,4.36,Central Region,0
80.0,329,Entire home/apt,4.93,Central Region,3
100.0,365,Private room,4.75,East Region,0
130.0,365,Private room,5.0,East Region,0
49.0,361,Private room,3.0,Central Region,0
49.0,361,Private room,5.0,Central Region,0
130.0,4,Private room,4.8,East Region,0
88.0,364,Private room,4.84,Central Region,0
90.0,363,Private room,4.94,North-East Region,1
180.0,358,Private room,5.0,West Region,0
